,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
2457939609972623332,Nashorn: JavaScript made great in Java 8,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Introducing Sign in with Slack - Slack Platform Blog,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Shutter Island (2010)
2468005329717107277,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Event Map For Google I/O 2016 Released,Building with Watson Technical Web Series,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Up your app's sharing game with DirectShare - Google Developers,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities"
2470587255066232267,University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,Conversational Banking; from branches to bots. - Chatbots Magazine,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,The AI business landscape,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,These gloves can convert sign language into spoken English
2495913984359439198,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Programação Reativa Funcional com RxJava,StrictMode for Runtime Analysis on Android - Google Developers,Google makes building apps easier with Android Studio 2.0,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,RecyclerView Prefetch - Google Developers
2508620055362300376,Using DiffUtil in Android RecyclerView,Listas com RecyclerView - Android Dev BR,Advanced Android Espresso,WeakReference in Android - Google Developers Experts,My experience with Google's Associate Android Developer Certification,RecyclerView Prefetch - Google Developers
2513724012883866928,[Webinar] PMI | Project Management Institute,[Tools] XMind Plus - Last Chance for students' 1$ gift,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Framework] Lean IT Governance,"[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",Atlassian launches Bitbucket Pipelines
2515874237935914763,Woolworths,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",What Google AMP Means for Every Marketer,"Simple rolls out shared bank accounts that work for anyone, including roommates",Blockchain startup R3 cuts fund-raising target to $150 million: source,The surprising truth about which countries lead in digital
2518704978033827255,Google Now Posting Full OTA Images For Nexus Devices Alongside Factory Images,Google may unveil Android VR headset at I/O conference,University of Washington partners with Disney to develop cheap touch-sensitive paper - GeekWire,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Google connects BigQuery to Google Drive and Sheets,Stetho for Android debug builds only
2541499697677936774,In defense of the Uber-ization of everything,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,The gig economy as a driver of innovation,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Google's fair use victory is good for open source
2543311963908571128,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Optimizing the Performance of Vector Drawables - upday devs,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Google makes building apps easier with Android Studio 2.0,Android Studio 2.0 | Android Developers Blog
2546657529517570876,A new Facebook chatbot could help you find your next job - Digiday,Are Chatbots Really The Future Of Web Design?,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",Python Ecosystem for Machine Learning - Machine Learning Mastery,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Apache Spark 2.0 Preview: Machine Learning Model Persistence
2546734694784514225,Microsoft and HackerRank bring executable code snippets to Bing's search results pages,A New Number Format for Computers Could Nuke Approximation Errors for Good,Adulterated Objective-C,Building more accessible technology,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Nashorn: JavaScript made great in Java 8
2551517430254715046,What Business Leaders Should Know About Swift,IBM's Watson aims to make hospital stays suck a whole lot less,Prisma for Android is now live for all in the Google Play Store,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Top Programming Languages Trends: The Rise of Big Data,"ConstraintLayout, Inside and Out: Part 1"
2555983212310147009,The Definitive Guide to Database Version Control,Angular 2 versus React: There Will Be Blood - Free Code Camp,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Taking Microservices Home - NGINX,Pull request first - Practical Blend,Creating Your Code Review Checklist - DaedTech
2573252627510191315,[Security] How to Set Expiration Dates for Shared Google Drive Files,[Tools] How to Record your Desktop Screen with YouTube,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Event] Palestra Competitive Strategy and Competition,[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
2581138407738454418,10 Modern Software Over-Engineering Mistakes,Beyond Progressive Web Apps Part 2: We Need to Know What's New,"Microservices Reference Architecture, Part 4 -12‑Factor App",Top Programming Languages Trends: The Rise of Big Data,Introduction to release engineering,A Beginner's Guide To Understanding Convolutional Neural Networks
2589533162305407436,6 reasons why I like KeystoneML,Tensorflow wins,The White House Has Realized Artificial Intelligence Is Very Important,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Python Ecosystem for Machine Learning - Machine Learning Mastery,Google's Cloud Machine Learning service is now in public beta
2601622077116449484,Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Google made a huge change to the way Google Maps look,An MIT Algorithm Predicts the Future by Watching TV,Failing model: Plastic Card + App and Card + Wallet Players?,The Absolute Best Coffee in New York
2602221055863892168,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Where accountability really matters,Conselho da SABMiller aceita proposta de compra da AB InBev,Here's How L'Oréal Plans To Continue Its Digital Innovation,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões"
2602738827388230683,Apple is working on an AI system that wipes the floor with Google and everyone else,"Apple acquires Turi, a machine learning company",This Super Accurate Portrait Selection Tech Uses Neural Networks,Ordering coffee in Italy: the 10 commandments,How Green Was My Valley (1941),The Absolute Best Coffee in New York
2607211459879791691,Leveling Up Your JavaScript -,Prototypal Object-Oriented Programming using JavaScript,A Baseline for Hybrid Mobile Developers,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The five phases of migrating to Google Cloud Platform
2617330491231854367,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,[Retro] Celebration Grids - Management 3.0,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Comprar roupas está ficando fora de moda no Reino Unido,Blockchain Huge Potential For The Insurance Industry,Solange Oliveira
2625883933130361261,Making open source data more available,The barbell effect of machine learning.,Google researchers teach AIs to see the important parts of images - and tell you about them,Tensorflow wins,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic","Twitter killed Magic Recs, the only useful bot there is"
2628816849077589497,Today in Apple history: Steve Jobs passes away | Cult of Mac,Soylent's new drink will replace your breakfast and morning coffee,Inbox by Gmail ganha formatação de texto | Google Discovery,The 24 best restaurants in New York City,The moment when you realize every server in the world is vulnerable - Free Code Camp,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
2633209697262372913,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine","Why Performance Matters, Part 2: Perception Management - Smashing Magazine",Kubernetes,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",Google's Cloud Investments are Finally Starting to Pay Off,"Autofill: What web devs should know, but don't"
2639926854188906104,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/","PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,Conheça a patente do Google que prevê entregas por drones - Startupi,Scrum Community - Scrum Alliance,Chat Smarter with Allo
2645380860642118790,'We've realized a ten-year strategy goal in one year',NTT to buy Dell's services division for $3.05 billion,Deep learning software knows that a rose is a rose is a rosa rubiginosa,Manhattan CRE prices spark a mass exodus of startups to Brooklyn,Speeding up ReSharper (and Visual Studio),Automation and anxiety
2668385070649954934,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Progress of Web Apps - On the Edge,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,How I sped up the initial render of my Polymer app by 86%,Blog | Niantic,Google researchers teach AIs to see the important parts of images - and tell you about them
2670715450352290324,"Handling context in ""outside-in""",Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Google's new translation software is almost as good as human translators,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?
